timestamp,pair,status,direction,size_usd,cex_price,dex_price,spread_bps,net_pnl,cex_order_id,arbiscan_url
2026-05-06T20:13:29.903441,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.330,7.33,7.271477,-79.84038199181446111869031378,-0.1028170886116800000000000000,N/A,N/A
2026-05-06T20:13:31.576079,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.970,2359.97,2360.713477332421137488876837,-3.149375557686307004339019993,-10.19809727209897539410299570,N/A,N/A
2026-05-06T20:13:32.634923,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055390,0.05539,0.05538995924095145068327896533,0.007358562654291021660649334154,-0.01517318036092145788203102166,N/A,N/A
2026-05-06T20:13:36.827434,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.330,7.33,7.271477,-79.84038199181446111869031378,-0.1027946611200000000000000000,N/A,N/A
2026-05-06T20:13:38.094976,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.970,2359.97,2360.713476994635474844799365,-3.149374127274338149052110161,-10.19815524600440998016185084,N/A,N/A
2026-05-06T20:13:39.425422,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.05540,0.0554,0.05538995816347399824649522523,1.812934484688540227395777229,-0.01518564495463482548714022739,N/A,N/A
2026-05-06T20:13:42.954330,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.330,7.33,7.271477,-79.84038199181446111869031378,-0.1027946611200000000000000000,N/A,N/A
2026-05-06T20:13:44.134667,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.970,2359.97,2360.713476994635474844799365,-3.149374127274338149052110161,-10.19807450703436198016185084,N/A,N/A
2026-05-06T20:13:45.131921,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.05540,0.0554,0.05538995816347399824649522523,1.812934484688540227395777229,-0.01516770296129082548714022739,N/A,N/A
2026-05-06T20:13:48.688180,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.330,7.33,7.271477,-79.84038199181446111869031378,-0.1028111079472320000000000000,N/A,N/A
2026-05-06T20:13:49.730690,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.80,2359.8,2360.713475777789488159920249,-3.869490250139412940872358191,-10.36729041717513066578705909,N/A,N/A
2026-05-06T20:13:51.013387,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055410,0.05541,0.05538995708638733429220698493,3.618510406391245434861060285,-0.01518464944219018610904543486,N/A,N/A
2026-05-06T20:13:54.526176,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.330,7.33,7.271477,-79.84038199181446111869031378,-0.1028574580967040000000000000,N/A,N/A
2026-05-06T20:13:55.664015,ETH/USDT,SKIPPED,BUY_CEX_SELL_DEX,2359.510,2359.51,2358.319605,-5.045094108522532220672936330,-10.64356309072121600000000000,N/A,N/A
2026-05-06T20:13:56.900312,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055390,0.05539,0.05538995924095145068327896533,0.007358562654291021660649334154,-0.01517766585925745788203102166,N/A,N/A
2026-05-06T20:14:00.757848,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.320,7.32,7.271477,-66.28825136612021857923497268,-0.09275282368000000000000000000,N/A,N/A
2026-05-06T20:14:01.785901,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.530,2359.53,2360.704859996550222598644984,-4.976733925781554332327488849,-10.62740043801755108937566798,N/A,N/A
2026-05-06T20:14:02.860247,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055390,0.05539,0.05538995924095145068327896533,0.007358562654291021660649334154,-0.01520572751538545788203102166,N/A,N/A
2026-05-06T20:14:05.003709,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.320,7.32,7.271477,-66.28825136612021857923497268,-0.09275581364473600000000000000,N/A,N/A
2026-05-06T20:14:06.039571,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.630,2359.63,2360.704860712340673361524681,-4.553134660028340266820362008,-10.52784113746426725437973308,N/A,N/A
2026-05-06T20:14:07.048429,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055460,0.05546,0.05542231481500001707435873142,6.799641105893226309716964735,-0.01513694283516271616688630971,N/A,N/A
2026-05-06T20:14:08.944423,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.320,7.32,7.271477,-66.28825136612021857923497268,-0.09275282368000000000000000000,N/A,N/A
2026-05-06T20:14:09.952537,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.90,2359.9,2360.704862644974889485487367,-3.409416643777771290006823696,-10.25913805744511624672871032,N/A,N/A
2026-05-06T20:14:10.997035,CHIP/USDT,SKIPPED,BUY_DEX_SELL_CEX,0.055460,0.05546,0.05542231481500001707435873142,6.799641105893226309716964735,-0.01513395287042671616688630971,N/A,N/A
2026-05-06T20:14:14.633902,GMX/USDT,SKIPPED,BUY_CEX_SELL_DEX,7.320,7.32,7.271477,-66.28825136612021857923497268,-0.09276179357420800000000000000,N/A,N/A
2026-05-06T20:14:15.670297,ETH/USDT,SKIPPED,BUY_DEX_SELL_CEX,2359.90,2359.9,2360.704862644974889485487367,-3.409416643777771290006823696,-10.25920084670457224672871032,N/A,N/A
